Order around lap,Event timestamp,"Car # (Unknown if you can't tell, N/A if not a car)",Traffic Type,Event Duration,"Event Speed Reduction(Estimated % ofspeed without traffic)","Speed if there wasn't traffic(4 is max speed)",Confidence in columns E to G
1,7:25,,full stop,26s,1,2,High
2,8:40,93,slowdown,2s,0.7,1,Medium
3,8:48,,full stop,15s,1,2,Medium
4,9:07,61,slowdown,2s,0.4,1,Medium
5,9:42,N/A,yellow flag,16s,0.5,3,Medium
6,10:17,93,slowdown,2s,0.5,1,Medium
7,10:58,19,slowdown,2s,0.4,2,Low
8,12:37,37,slowdown,5s,0.3,3,Low
9,13:04,"37,67",slowdown,10s,0.5,2,Medium
10,13:56,93,slowdown,4s,0.4,2,Medium
11,17:21,Unknown,full stop,2s,1,2,High
12,18:22,N/A,yellow flag,7s,0.6,3,High
13,18:39,39,slowdown,4s,0.3,2,Medium
14,18:45,18,slowdown,2s,0.5,3,Medium
15,19:35,79,slowdown,7s,0.4,2,Medium
16,23:08,20,yellow flag,7s,0.2,2,Low
17,29:39:00,63,yellow flag,6s,0.3,1,Low
18,25:21:00,Unknown,yellow flag,7s,0.2,1,Medium
19,27:16:00,92,slowdown,3s,0.7,3,High
20,31:21:00,19,slowdown,8s,0.6,2,High
21,31:42:00,,slowdown,9s,0.5,2,High
22,33:22:00,54,slowdown,12s,0.6,3,High
23,35:28:00,68,yellow flag,4s,0.3,2,Medium
24,38:52:00,79,slowdown,18s,0.5,3,Medium
25,40:28:00,N/A,yellow flag,14s,0.6,3,Medium
26,50:09:00,N/A,yellow flag,6s,0.3,2,Medium
27,50:44:00,56,slowdown,17s,0.5,3,Medium
28,51:28:00,75,slowdown,3s,0.4,2,Low
29,58:12:00,Unknown,slowdown,4s,0.2,3,Low
30,59:40:00,Unknown,slowdown,12s,0.3,2,Low
31,1:01:33,104,slowdown,13s,0.3,2,Medium
32,1:05:39,N/A,yellow flag,2s,0.3,2,Low
33,1:06:35,70,slowdown,11s,0.4,2,Medium
34,1:07:26,84,slowdown,4s,0.4,3,Medium
35,1:13:24,89,slowdown,4s,0.3,1,Medium
36,1:14,N/A,yellow flag,6s,0.5,2,Medium
37,1:14:39,89,slowdown,3s,0.2,2,Medium
38,,,,,,,
39,,,,,,,
40,,,,,,,
...,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
